qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS,QD
0.0086,1e-05,0.008,0.008,7.967408e-07,2.628302e-06,-0.0,0.0,0.0,0.0,0.0,0.0,7.967408e-07,2.628302e-06,0.0
0.00907,1e-05,0.0085,0.0085,1.077978e-06,8.909022e-07,-0.0,0.0,0.0,0.0,0.0,0.0,1.077978e-06,8.909022e-07,0.0
0.00954,1e-05,0.009,0.009,1.449582e-06,1.131316e-06,-0.0,0.0,0.0,0.0,0.0,0.0,1.449582e-06,1.131316e-06,0.0
0.01001,1e-05,0.0095,0.0095,1.937409e-06,1.929399e-06,-0.0,0.0,0.0,0.0,0.0,0.0,1.937409e-06,1.929399e-06,0.0
0.01049,1e-05,0.01,0.01,2.573713e-06,3.790121e-06,-0.0,0.0,0.0,0.0,0.0,0.0,2.573713e-06,3.790121e-06,0.0
0.01097,1e-05,0.0105,0.0105,3.398503e-06,1.048012e-05,-0.0,0.0,0.0,0.0,0.0,0.0,3.398503e-06,1.048012e-05,0.0
0.01145,1e-05,0.011,0.011,4.461199e-06,3.335704e-05,-0.0,0.0,0.0,0.0,0.0,0.0,4.461199e-06,3.335704e-05,0.0
0.01193,1e-05,0.0115,0.0115,5.822699e-06,0.0001073722,-0.0,0.0,0.0,0.0,0.0,0.0,5.822699e-06,0.0001073722,0.0
0.01241,1e-05,0.012,0.012,7.558074e-06,0.0003019988,-0.0,0.0,0.0,0.0,0.0,0.0,7.558074e-06,0.0003019988,0.0
0.01289,1e-05,0.0125,0.0125,9.760156e-06,0.0006695144,-0.0,0.0,0.0,0.0,0.0,0.0,9.760156e-06,0.0006695144,0.0
0.01338,1e-05,0.013,0.013,1.254442e-05,0.001142767,-0.0,0.0,0.0,0.0,0.0,0.0,1.254442e-05,0.001142767,0.0
0.01387,1e-05,0.0135,0.0135,1.606327e-05,0.001495766,-0.0,0.0,0.0,0.0,0.0,0.0,1.606327e-05,0.001495766,0.0
0.01435,1e-05,0.014,0.014,2.328734e-05,0.001551056,-0.0,0.0,0.0,0.0,0.0,0.0,2.328734e-05,0.001551056,0.0
0.01484,1e-05,0.0145,0.0145,0.0001440357,0.002777687,-0.0,0.0,0.0,0.0,0.0,0.0,0.0001440357,0.002777687,0.0
0.01533,1e-05,0.015,0.015,0.0006015407,0.008053487,-0.0,0.0,0.0,0.0,0.0,0.0,0.0006015407,0.008053487,0.0
0.01582,1e-05,0.0155,0.0155,0.000435804,0.005195572,-0.0,0.0,0.0,0.0,0.0,0.0,0.000435804,0.005195572,0.0
0.01631,1e-05,0.016,0.016,0.000461253,0.004444159,-0.0,0.0,0.0,0.0,0.0,0.0,0.000461253,0.004444159,0.0
0.0168,1e-05,0.0165,0.0165,0.000290019,0.002650662,-0.0,0.0,0.0,0.0,0.0,0.0,0.000290019,0.002650662,0.0
0.01729,1e-05,0.017,0.017,0.0001079273,0.001072919,0.0,0.0,0.0,0.0,0.0,0.0,0.0001079273,0.001072919,0.0
0.01778,1e-05,0.0175,0.0175,0.0001437208,0.001243685,0.0,0.0,0.0,0.0,5.058828e-12,0.0,0.0001437208,0.001243685,0.0
0.01828,1e-05,0.018,0.018,0.0002722173,0.001605614,0.0,0.0,0.0,0.0,1.111912e-11,0.0,0.0002722173,0.001605614,0.0
0.01877,1e-05,0.0185,0.0185,0.0002476769,0.002001316,0.0,0.0,0.0,0.0,1.931455e-11,0.0,0.0002476769,0.002001316,0.0
0.01926,1e-05,0.019,0.019,0.0002115157,0.002403744,0.0,0.0,0.0,0.0,2.948767e-11,0.0,0.0002115157,0.002403744,0.0
0.01975,1e-05,0.0195,0.0195,0.0002495066,0.002864758,0.0,0.0,0.0,0.0,4.148641e-11,0.0,0.0002495065,0.002864758,0.0
0.02025,1e-05,0.02,0.02,0.0003030735,0.003348723,0.0,0.0,0.0,0.0,5.516398e-11,0.0,0.0003030735,0.003348723,0.0
0.02074,1e-05,0.0205,0.0205,0.0003661655,0.003821496,0.0,0.0,0.0,0.0,7.037885e-11,0.0,0.0003661654,0.003821496,0.0
0.02124,1e-05,0.021,0.021,0.0004277323,0.004270336,0.0,0.0,0.0,0.0,8.699467e-11,0.0,0.0004277323,0.004270336,0.0
0.02173,1e-05,0.0215,0.0215,0.0004928269,0.004673003,0.0,0.0,0.0,0.0,1.048803e-10,0.0,0.0004928268,0.004673003,0.0
0.02223,1e-05,0.022,0.022,0.000563055,0.005004966,0.0,0.0,0.0,0.0,1.239094e-10,0.0,0.0005630549,0.005004966,0.0
0.02272,1e-05,0.0225,0.0225,0.0006338962,0.005246839,0.0,0.0,0.0,0.0,1.439611e-10,0.0,0.000633896,0.005246839,0.0
0.02322,1e-05,0.023,0.023,0.0007031434,0.005384409,0.0,0.0,0.0,0.0,1.64919e-10,0.0,0.0007031432,0.005384409,0.0
0.02371,1e-05,0.0235,0.0235,0.0007690841,0.005409958,0.0,0.0,0.0,0.0,1.866718e-10,0.0,0.000769084,0.005409958,0.0
0.02421,1e-05,0.024,0.024,0.0008304573,0.005323069,0.0,0.0,0.0,0.0,2.091128e-10,0.0,0.0008304571,0.005323069,0.0
0.0247,1e-05,0.0245,0.0245,0.0008865859,0.005130673,0.0,0.0,0.0,0.0,2.321401e-10,0.0,0.0008865857,0.005130673,0.0
0.0252,1e-05,0.025,0.025,0.0009374156,0.004846286,0.0,0.0,0.0,0.0,2.556474e-10,0.0,0.0009374153,0.004846286,0.0
0.0257,1e-05,0.0255,0.0255,0.0009834478,0.004488582,0.0,0.0,0.0,0.0,2.71683e-10,0.0,0.0009834475,0.004488582,0.0
0.02619,1e-05,0.026,0.026,0.001025582,0.004079487,0.0,0.0,0.0,0.0,2.873466e-10,0.0,0.001025582,0.004079487,0.0
0.02669,1e-05,0.0265,0.0265,0.001064903,0.003642082,0.0,0.0,0.0,0.0,3.026067e-10,0.0,0.001064903,0.003642082,0.0
0.02718,1e-05,0.027,0.027,0.001102451,0.003198567,0.0,0.0,0.0,0.0,3.174361e-10,0.0,0.00110245,0.003198567,0.0
0.02768,1e-05,0.0275,0.0275,0.00113902,0.002768549,0.0,0.0,0.0,0.0,3.318113e-10,0.0,0.00113902,0.002768549,0.0
0.02818,1e-05,0.028,0.028,0.001175027,0.002367813,0.0,0.0,0.0,0.0,3.457121e-10,0.0,0.001175027,0.002367813,0.0
0.02867,1e-05,0.0285,0.0285,0.001210443,0.002007655,0.0,0.0,0.0,0.0,3.591214e-10,0.0,0.001210443,0.002007655,0.0
0.02917,1e-05,0.029,0.029,0.001244816,0.00169477,0.0,0.0,0.0,0.0,3.720247e-10,0.0,0.001244815,0.00169477,0.0
0.02967,1e-05,0.0295,0.0295,0.001277341,0.001431608,0.0,0.0,0.0,0.0,3.844102e-10,0.0,0.001277341,0.001431608,0.0
0.03017,1e-05,0.03,0.03,0.001306983,0.001217076,0.0,0.0,0.0,0.0,3.962684e-10,0.0,0.001306983,0.001217076,0.0
0.03066,1e-05,0.0305,0.0305,0.001332602,0.001047416,0.0,0.0,0.0,0.0,4.075919e-10,0.0,0.001332602,0.001047416,0.0
0.03116,1e-05,0.031,0.031,0.001353073,0.0009171339,0.0,0.0,0.0,0.0,4.183751e-10,0.0,0.001353072,0.0009171339,0.0
0.03166,1e-05,0.0315,0.0315,0.001367387,0.0008198619,0.0,0.0,0.0,0.0,4.286145e-10,0.0,0.001367387,0.0008198619,0.0
0.03216,1e-05,0.032,0.032,0.001374725,0.0007490671,0.0,0.0,0.0,0.0,4.38308e-10,0.0,0.001374724,0.0007490671,0.0
0.03265,1e-05,0.0325,0.0325,0.001374491,0.0006985812,0.0,0.0,0.0,0.0,4.47455e-10,0.0,0.00137449,0.0006985812,0.0
0.03315,1e-05,0.033,0.033,0.001366338,0.0006629412,0.0,0.0,0.0,0.0,4.560564e-10,0.0,0.001366337,0.0006629412,0.0
0.03365,1e-05,0.0335,0.0335,0.00135016,0.0006375631,0.0,0.0,0.0,0.0,4.641143e-10,0.0,0.00135016,0.0006375631,0.0
0.03415,1e-05,0.034,0.034,0.001326078,0.0006187852,0.0,0.0,0.0,0.0,4.71632e-10,0.0,0.001326078,0.0006187852,0.0
0.03464,1e-05,0.0345,0.0345,0.001294417,0.0006038177,0.0,0.0,0.0,0.0,4.786138e-10,0.0,0.001294417,0.0006038177,0.0
0.03514,1e-05,0.035,0.035,0.001255677,0.000590638,0.0,0.0,0.0,0.0,4.850651e-10,0.0,0.001255677,0.000590638,0.0
0.03564,1e-05,0.0355,0.0355,0.001210505,0.000577861,0.0,0.0,0.0,0.0,4.909921e-10,0.0,0.001210505,0.000577861,0.0
0.03614,1e-05,0.036,0.036,0.001159662,0.000564606,0.0,0.0,0.0,0.0,4.964017e-10,0.0,0.001159662,0.000564606,0.0
0.03664,1e-05,0.0365,0.0365,0.001103997,0.0005503745,0.0,0.0,0.0,0.0,5.013018e-10,0.0,0.001103997,0.0005503745,0.0
0.03713,1e-05,0.037,0.037,0.001044415,0.0005349464,0.0,0.0,0.0,0.0,5.057008e-10,0.0,0.001044415,0.0005349464,0.0
0.03763,1e-05,0.0375,0.0375,0.0009818515,0.0005182949,0.0,0.0,0.0,0.0,5.096078e-10,0.0,0.000981851,0.0005182949,0.0
0.03813,1e-05,0.038,0.038,0.0009172441,0.0005005215,0.0,0.0,0.0,0.0,5.130323e-10,0.0,0.0009172436,0.0005005215,0.0
0.03863,1e-05,0.0385,0.0385,0.0008515108,0.0004818072,0.0,0.0,0.0,0.0,5.159844e-10,0.0,0.0008515103,0.0004818072,0.0
0.03913,1e-05,0.039,0.039,0.0007855273,0.000462376,0.0,0.0,0.0,0.0,5.184746e-10,0.0,0.0007855268,0.000462376,0.0
0.03963,1e-05,0.0395,0.0395,0.0007201088,0.0004424693,0.0,0.0,0.0,0.0,5.205138e-10,0.0,0.0007201083,0.0004424693,0.0
0.04012,1e-05,0.04,0.04,0.0006559952,0.0004223285,0.0,0.0,0.0,0.0,5.221133e-10,0.0,0.0006559947,0.0004223285,0.0
0.04062,1e-05,0.0405,0.0405,0.0005938392,0.0004021814,0.0,0.0,0.0,0.0,5.232845e-10,0.0,0.0005938386,0.0004021814,0.0
0.04112,1e-05,0.041,0.041,0.0005341984,0.0003822349,0.0,0.0,0.0,0.0,5.240393e-10,0.0,0.0005341979,0.0003822349,0.0
0.04162,1e-05,0.0415,0.0415,0.0004775314,0.0003626691,0.0,0.0,0.0,0.0,5.243896e-10,0.0,0.0004775309,0.0003626691,0.0
0.04212,1e-05,0.042,0.042,0.0004241963,0.0003436345,0.0,0.0,0.0,0.0,5.243476e-10,0.0,0.0004241957,0.0003436345,0.0
0.04262,1e-05,0.0425,0.0425,0.000374453,0.0003252512,0.0,0.0,0.0,0.0,5.239256e-10,0.0,0.0003744524,0.0003252512,0.0
0.04312,1e-05,0.043,0.043,0.0003284681,0.0003076086,0.0,0.0,0.0,0.0,5.23136e-10,0.0,0.0003284676,0.0003076086,0.0
0.04361,1e-05,0.0435,0.0435,0.000286322,0.0002907677,0.0,0.0,0.0,0.0,5.219913e-10,0.0,0.0002863215,0.0002907677,0.0
0.04411,1e-05,0.044,0.044,0.0002480171,0.0002747627,0.0,0.0,0.0,0.0,5.205041e-10,0.0,0.0002480166,0.0002747627,0.0
0.04461,1e-05,0.0445,0.0445,0.0002134883,0.0002596043,0.0,0.0,0.0,0.0,5.186868e-10,0.0,0.0002134878,0.0002596043,0.0
0.04511,1e-05,0.045,0.045,0.0001826131,0.0002452833,0.0,0.0,0.0,0.0,5.165522e-10,0.0,0.0001826126,0.0002452833,0.0
0.04561,1e-05,0.0455,0.0455,0.0001552227,0.0002317735,0.0,0.0,0.0,0.0,5.141126e-10,0.0,0.0001552222,0.0002317735,0.0
0.04611,1e-05,0.046,0.046,0.0001311125,0.0002190365,0.0,0.0,0.0,0.0,5.113805e-10,0.0,0.000131112,0.0002190365,0.0
0.04661,1e-05,0.0465,0.0465,0.0001100521,0.0002070241,0.0,0.0,0.0,0.0,5.083685e-10,0.0,0.0001100516,0.0002070241,0.0
0.04711,1e-05,0.047,0.047,9.179479e-05,0.0001956824,0.0,0.0,0.0,0.0,5.050888e-10,0.0,9.179429e-05,0.0001956824,0.0
0.04761,1e-05,0.0475,0.0475,7.608573e-05,0.0001849548,0.0,0.0,0.0,0.0,5.015535e-10,0.0,7.608523e-05,0.0001849548,0.0
0.0481,1e-05,0.048,0.048,6.266916e-05,0.0001747843,0.0,0.0,0.0,0.0,4.977749e-10,0.0,6.266866e-05,0.0001747843,0.0
0.0486,1e-05,0.0485,0.0485,5.129441e-05,0.0001651159,0.0,0.0,0.0,0.0,4.937649e-10,0.0,5.129391e-05,0.0001651159,0.0
0.0491,1e-05,0.049,0.049,4.172071e-05,0.0001558984,0.0,0.0,0.0,0.0,4.895352e-10,0.0,4.172022e-05,0.0001558984,0.0
0.0496,1e-05,0.0495,0.0495,3.372088e-05,0.0001470855,0.0,0.0,0.0,0.0,4.850976e-10,0.0,3.372039e-05,0.0001470855,0.0
0.0501,1e-05,0.05,0.05,2.708393e-05,0.0001386369,0.0,0.0,0.0,0.0,4.804634e-10,0.0,2.708345e-05,0.0001386369,0.0
0.0506,1e-05,0.0505,0.0505,2.161674e-05,0.0001305184,0.0,0.0,0.0,0.0,4.75644e-10,0.0,2.161627e-05,0.0001305184,0.0
0.0511,1e-05,0.051,0.051,1.714489e-05,0.0001227024,0.0,0.0,0.0,0.0,4.706504e-10,0.0,1.714442e-05,0.0001227024,0.0
0.0516,1e-05,0.0515,0.0515,1.351279e-05,0.0001151674,0.0,0.0,0.0,0.0,4.654934e-10,0.0,1.351232e-05,0.0001151674,0.0
0.0521,1e-05,0.052,0.052,1.058331e-05,0.0001078978,0.0,0.0,0.0,0.0,4.601839e-10,0.0,1.058285e-05,0.0001078978,0.0
0.0526,1e-05,0.0525,0.0525,8.236913e-06,0.0001008831,0.0,0.0,0.0,0.0,4.547321e-10,0.0,8.236458e-06,0.0001008831,0.0
0.05309,1e-05,0.053,0.053,6.37051e-06,9.411725e-05,0.0,0.0,0.0,0.0,4.491483e-10,0.0,6.370061e-06,9.411725e-05,0.0
0.05359,1e-05,0.0535,0.0535,4.896112e-06,8.759799e-05,0.0,0.0,0.0,0.0,4.434424e-10,0.0,4.895669e-06,8.759799e-05,0.0
0.05409,1e-05,0.054,0.054,3.739353e-06,8.132582e-05,0.0,0.0,0.0,0.0,4.376243e-10,0.0,3.738916e-06,8.132582e-05,0.0
0.05459,1e-05,0.0545,0.0545,2.837989e-06,7.530332e-05,0.0,0.0,0.0,0.0,4.317033e-10,0.0,2.837557e-06,7.530332e-05,0.0
0.05509,1e-05,0.055,0.055,2.140401e-06,6.953435e-05,0.0,0.0,0.0,0.0,4.256887e-10,0.0,2.139975e-06,6.953435e-05,0.0
0.05559,1e-05,0.0555,0.0555,1.604175e-06,6.402337e-05,0.0,0.0,0.0,0.0,4.195895e-10,0.0,1.603755e-06,6.402337e-05,0.0
0.05609,1e-05,0.056,0.056,1.194767e-06,5.877482e-05,0.0,0.0,0.0,0.0,4.134144e-10,0.0,1.194353e-06,5.877482e-05,0.0
0.05659,1e-05,0.0565,0.0565,8.842858e-07,5.379262e-05,0.0,0.0,0.0,0.0,4.071719e-10,0.0,8.838786e-07,5.379262e-05,0.0
0.05709,1e-05,0.057,0.057,6.504074e-07,4.907974e-05,0.0,0.0,0.0,0.0,4.008703e-10,0.0,6.500065e-07,4.907974e-05,0.0
0.05759,1e-05,0.0575,0.0575,4.754103e-07,4.46379e-05,0.0,0.0,0.0,0.0,3.945175e-10,0.0,4.750158e-07,4.46379e-05,0.0
0.05809,1e-05,0.058,0.058,3.45344e-07,4.046735e-05,0.0,0.0,0.0,0.0,3.881212e-10,0.0,3.449559e-07,4.046735e-05,0.0
0.05859,1e-05,0.0585,0.0585,2.493158e-07,3.656672e-05,0.0,0.0,0.0,0.0,3.816889e-10,0.0,2.489341e-07,3.656672e-05,0.0
0.05908,1e-05,0.059,0.059,1.788884e-07,3.2933e-05,0.0,0.0,0.0,0.0,3.752277e-10,0.0,1.785132e-07,3.2933e-05,0.0
0.05958,1e-05,0.0595,0.0595,1.275788e-07,2.956151e-05,0.0,0.0,0.0,0.0,3.687447e-10,0.0,1.272101e-07,2.956151e-05,0.0
0.06008,1e-05,0.06,0.06,9.044422e-08,2.644603e-05,0.0,0.0,0.0,0.0,3.622465e-10,0.0,9.008197e-08,2.644603e-05,0.0
0.06058,1e-05,0.0605,0.0605,6.374555e-08,2.357887e-05,0.0,0.0,0.0,0.0,3.557396e-10,0.0,6.338981e-08,2.357887e-05,0.0
0.06108,1e-05,0.061,0.061,4.467602e-08,2.095106e-05,0.0,0.0,0.0,0.0,3.4923e-10,0.0,4.432679e-08,2.095106e-05,0.0
0.06158,1e-05,0.0615,0.0615,3.114468e-08,1.855252e-05,0.0,0.0,0.0,0.0,3.427239e-10,0.0,3.080195e-08,1.855252e-05,0.0
0.06208,1e-05,0.062,0.062,2.160564e-08,1.637223e-05,0.0,0.0,0.0,0.0,3.362268e-10,0.0,2.126941e-08,1.637223e-05,0.0
0.06258,1e-05,0.0625,0.0625,1.492453e-08,1.439847e-05,0.0,0.0,0.0,0.0,3.297443e-10,0.0,1.459479e-08,1.439847e-05,0.0
0.06308,1e-05,0.063,0.063,1.027517e-08,1.261898e-05,0.0,0.0,0.0,0.0,3.232815e-10,0.0,9.951887e-09,1.261898e-05,0.0
0.06358,1e-05,0.0635,0.0635,7.060233e-09,1.10212e-05,0.0,0.0,0.0,0.0,3.168434e-10,0.0,6.74339e-09,1.10212e-05,0.0
0.06408,1e-05,0.064,0.064,4.851066e-09,9.592396e-06,0.0,0.0,0.0,0.0,3.104348e-10,0.0,4.540631e-09,9.592396e-06,0.0
0.06458,1e-05,0.0645,0.0645,3.342282e-09,8.319883e-06,0.0,0.0,0.0,0.0,3.040602e-10,0.0,3.038221e-09,8.319883e-06,0.0
0.06508,1e-05,0.065,0.065,2.317893e-09,7.191134e-06,0.0,0.0,0.0,0.0,2.977239e-10,0.0,2.020169e-09,7.191134e-06,0.0
0.06558,1e-05,0.0655,0.0655,1.626246e-09,6.193929e-06,0.0,0.0,0.0,0.0,2.9143e-10,0.0,1.334816e-09,6.193929e-06,0.0
0.06608,1e-05,0.066,0.066,1.161618e-09,5.31646e-06,0.0,0.0,0.0,0.0,2.851822e-10,0.0,8.764358e-10,5.31646e-06,0.0
0.06658,1e-05,0.0665,0.0665,8.508369e-10,4.547426e-06,0.0,0.0,0.0,0.0,2.789844e-10,0.0,5.718526e-10,4.547426e-06,0.0
0.06707,1e-05,0.067,0.067,6.436172e-10,3.876096e-06,0.0,0.0,0.0,0.0,2.728398e-10,0.0,3.707774e-10,3.876096e-06,0.0
0.06757,1e-05,0.0675,0.0675,5.056471e-10,3.292372e-06,0.0,0.0,0.0,0.0,2.667518e-10,0.0,2.388953e-10,3.292372e-06,0.0
0.06807,1e-05,0.068,0.068,4.136796e-10,2.786814e-06,0.0,0.0,0.0,0.0,2.607234e-10,0.0,1.529562e-10,2.786814e-06,0.0
0.06857,1e-05,0.0685,0.0685,3.520751e-10,2.35067e-06,0.0,0.0,0.0,0.0,2.547574e-10,0.0,9.731771e-11,2.35067e-06,0.0
0.06907,1e-05,0.069,0.069,3.103858e-10,1.975875e-06,0.0,0.0,0.0,0.0,2.488565e-10,0.0,6.152928e-11,1.975875e-06,0.0
0.06957,1e-05,0.0695,0.0695,2.81681e-10,1.655051e-06,0.0,0.0,0.0,0.0,2.430232e-10,0.0,3.865778e-11,1.655051e-06,0.0
0.07007,1e-05,0.07,0.07,2.613953e-10,1.381488e-06,0.0,0.0,0.0,0.0,2.372598e-10,0.0,2.413556e-11,1.381488e-06,0.0
0.07057,1e-05,0.0705,0.0705,2.465425e-10,1.149123e-06,0.0,0.0,0.0,0.0,2.315684e-10,0.0,1.497417e-11,1.149123e-06,0.0
0.07107,1e-05,0.071,0.071,2.351829e-10,9.525097e-07,0.0,0.0,0.0,0.0,2.259509e-10,0.0,9.231954e-12,9.525097e-07,0.0
0.07157,1e-05,0.0715,0.0715,2.260652e-10,7.867845e-07,0.0,0.0,0.0,0.0,2.204092e-10,0.0,5.656002e-12,7.867845e-07,0.0
0.07207,1e-05,0.072,0.072,2.183883e-10,6.476279e-07,0.0,0.0,0.0,0.0,2.149449e-10,0.0,3.443426e-12,6.476279e-07,0.0
0.07257,1e-05,0.0725,0.0725,2.116427e-10,5.312252e-07,0.0,0.0,0.0,0.0,2.095595e-10,0.0,2.08323e-12,5.312252e-07,0.0
0.07307,1e-05,0.073,0.073,2.055067e-10,4.342252e-07,0.0,0.0,0.0,0.0,2.042543e-10,0.0,1.252417e-12,4.342252e-07,0.0
0.07357,1e-05,0.0735,0.0735,1.997787e-10,3.536997e-07,0.0,0.0,0.0,0.0,1.990305e-10,0.0,7.482137e-13,3.536997e-07,0.0
0.07407,1e-05,0.074,0.074,1.943334e-10,2.871029e-07,0.0,0.0,0.0,0.0,1.938892e-10,0.0,4.441889e-13,2.871029e-07,0.0
0.07457,1e-05,0.0745,0.0745,1.890933e-10,2.322329e-07,0.0,0.0,0.0,0.0,1.888313e-10,0.0,2.620445e-13,2.322329e-07,0.0
0.07507,1e-05,0.075,0.075,1.840112e-10,1.871945e-07,0.0,0.0,0.0,0.0,1.838575e-10,0.0,1.536199e-13,1.871945e-07,0.0
0.07557,1e-05,0.0755,0.0755,1.790582e-10,1.503646e-07,0.0,0.0,0.0,0.0,1.789687e-10,0.0,8.949223e-14,1.503646e-07,0.0
0.07607,1e-05,0.076,0.076,1.74217e-10,1.203597e-07,0.0,0.0,0.0,0.0,1.741652e-10,0.0,5.180699e-14,1.203597e-07,0.0
0.07657,1e-05,0.0765,0.0765,1.694774e-10,9.600639e-08,0.0,0.0,0.0,0.0,1.694476e-10,0.0,2.980277e-14,9.600639e-08,0.0
0.07706,1e-05,0.077,0.077,1.648162e-10,7.631362e-08,0.0,0.0,0.0,0.0,1.648162e-10,0.0,0.0,7.631362e-08,0.0
0.07756,1e-05,0.0775,0.0775,1.602712e-10,6.044875e-08,0.0,0.0,0.0,0.0,1.602712e-10,0.0,0.0,6.044875e-08,0.0
0.07806,1e-05,0.078,0.078,1.558127e-10,4.771509e-08,0.0,0.0,0.0,0.0,1.558127e-10,0.0,0.0,4.771509e-08,0.0
0.07856,1e-05,0.0785,0.0785,1.514407e-10,3.753248e-08,0.0,0.0,0.0,0.0,1.514407e-10,0.0,0.0,3.753248e-08,0.0
0.07906,1e-05,0.079,0.079,1.471553e-10,2.941995e-08,0.0,0.0,0.0,0.0,1.471553e-10,0.0,0.0,2.941995e-08,0.0
0.07956,1e-05,0.0795,0.0795,1.429562e-10,2.298052e-08,0.0,0.0,0.0,0.0,1.429562e-10,0.0,0.0,2.298052e-08,0.0
0.08006,1e-05,0.08,0.08,1.388433e-10,1.788796e-08,0.0,0.0,0.0,0.0,1.388433e-10,0.0,0.0,1.788796e-08,0.0
0.08056,1e-05,0.0805,0.0805,1.348161e-10,1.387538e-08,0.0,0.0,0.0,0.0,1.348161e-10,0.0,0.0,1.387538e-08,0.0
0.08106,1e-05,0.081,0.081,1.308744e-10,1.072537e-08,0.0,0.0,0.0,0.0,1.308744e-10,0.0,0.0,1.072537e-08,0.0
0.08156,1e-05,0.0815,0.0815,1.270177e-10,8.26157e-09,0.0,0.0,0.0,0.0,1.270177e-10,0.0,0.0,8.26157e-09,0.0
0.08206,1e-05,0.082,0.082,1.232454e-10,6.34156e-09,0.0,0.0,0.0,0.0,1.232454e-10,0.0,0.0,6.34156e-09,0.0
0.08256,1e-05,0.0825,0.0825,1.195569e-10,4.850794e-09,0.0,0.0,0.0,0.0,1.195569e-10,0.0,0.0,4.850794e-09,0.0
0.08306,1e-05,0.083,0.083,1.159517e-10,3.697538e-09,0.0,0.0,0.0,0.0,1.159517e-10,0.0,0.0,3.697538e-09,0.0
0.08356,1e-05,0.0835,0.0835,1.12429e-10,2.808637e-09,0.0,0.0,0.0,0.0,1.12429e-10,0.0,0.0,2.808637e-09,0.0
0.08406,1e-05,0.084,0.084,1.08988e-10,2.125993e-09,0.0,0.0,0.0,0.0,1.08988e-10,0.0,0.0,2.125993e-09,0.0
0.08456,1e-05,0.0845,0.0845,1.05628e-10,5.079568e-05,0.0,5.079408e-05,0.0,0.0,1.05628e-10,0.0,0.0,1.603655e-09,0.0
0.08506,1e-05,0.085,0.085,1.023482e-10,0.0001552504,0.0,0.0001552492,0.0,0.0,1.023482e-10,0.0,0.0,1.205434e-09,0.0
0.08556,1e-05,0.0855,0.0855,9.914754e-11,0.0002375362,0.0,0.0002375353,0.0,0.0,9.914754e-11,0.0,0.0,9.029401e-10,0.0
0.08606,1e-05,0.086,0.086,9.60252e-11,0.0002995319,0.0,0.0002995312,0.0,0.0,9.60252e-11,0.0,0.0,6.739965e-10,0.0
0.08656,1e-05,0.0865,0.0865,1.77319e-07,0.000343313,0.0,0.0003431034,1.77226e-07,2.090542e-07,9.298018e-11,0.0,0.0,5.013482e-10,0.0
0.08706,1e-05,0.087,0.087,4.007985e-07,0.0003706006,0.0,0.0003701052,4.007084e-07,4.94971e-07,9.00115e-11,0.0,0.0,3.716245e-10,0.0
0.08756,1e-05,0.0875,0.0875,6.805811e-07,0.0003832505,0.0,0.0003823762,6.80494e-07,8.740471e-07,8.711812e-11,0.0,0.0,2.745064e-10,0.0
0.08806,1e-05,0.088,0.088,1.028573e-06,0.0003831071,0.0,0.0003817413,1.028488e-06,1.365591e-06,8.429898e-11,0.0,0.0,2.020615e-10,0.0
0.08856,1e-05,0.0885,0.0885,1.458782e-06,0.0003720034,0.0,0.000370011,1.4587e-06,1.992225e-06,8.1553e-11,0.0,0.0,1.48217e-10,0.0
0.08906,1e-05,0.089,0.089,1.987584e-06,0.0003517604,0.0,0.0003489801,1.987505e-06,2.780176e-06,7.887908e-11,0.0,0.0,1.083416e-10,0.0
0.08956,1e-05,0.0895,0.0895,2.016773e-06,0.0003234977,0.0,0.0003204279,2.016697e-06,3.069691e-06,7.627609e-11,0.0,0.0,7.891798e-11,0.0
0.09006,1e-05,0.09,0.09,2.672589e-06,0.0002902619,0.0,0.0002861174,2.672515e-06,4.144435e-06,7.374288e-11,0.0,0.0,5.728483e-11,0.0
0.09056,1e-05,0.0905,0.0905,3.470008e-06,0.0002532623,0.0,0.0002477955,3.469937e-06,5.466742e-06,7.12783e-11,0.0,0.0,4.143682e-11,0.0
0.09105,1e-05,0.091,0.091,4.434584e-06,0.0002142719,0.0,0.0002071923,4.434515e-06,7.07956e-06,6.888116e-11,0.0,0.0,2.986871e-11,0.0
0.09155,1e-05,0.0915,0.0915,5.595429e-06,0.0001750521,0.0,0.0001660212,5.595363e-06,9.030853e-06,6.655028e-11,0.0,0.0,2.145505e-11,0.0
0.09205,1e-05,0.092,0.092,5.675308e-06,0.0001358139,0.0,0.0001259784,5.675244e-06,9.835463e-06,6.428448e-11,0.0,0.0,1.535768e-11,0.0
0.09255,1e-05,0.0925,0.0925,7.085117e-06,0.00010113,0.0,8.874299e-05,7.085055e-06,1.238702e-05,6.208253e-11,0.0,0.0,1.095481e-11,0.0
0.09305,1e-05,0.093,0.093,8.765026e-06,7.140875e-05,0.0,5.597686e-05,8.764967e-06,1.543189e-05,5.994324e-11,0.0,0.0,7.786952e-12,0.0
0.09355,1e-05,0.0935,0.0935,1.075701e-05,4.836465e-05,0.0,2.932437e-05,1.075695e-05,1.904027e-05,5.786539e-11,0.0,0.0,5.515858e-12,0.0
0.09405,1e-05,0.094,0.094,1.09075e-05,3.099622e-05,0.0,1.041247e-05,1.090744e-05,2.058375e-05,5.584776e-11,0.0,0.0,3.893514e-12,0.0
